SampleID,RegionCode,SubRegion,Stratum,MethodCode,StationCode,SampleDate,SampleTime,WeatherCode,TowMax,Latitude,Longitude,LatitudeStart,LongitudeStart,LatitudeEnd,LongitudeEnd,DO,SpecificConductance,WaterTemp,TurbidityFNU,YsiSerialNo,HatchSerialNo,GearCode,GearConditionCode,MeterSerialNo,TowNumber,PairedStudies,BottomDepth,TowDuration,SamplingDirection,Secchi,FlowmeterStart,FlowmeterEnd,FlowmeterDifference,VolumeRaw,VolumeScrubbed,VolumeImputed,VolumeImputedBy,VolumeFinal,FlowDebris,Comments,TideCode,Phylum,CommonName,OrganismCode,MarkCode,ForkLength,RaceByLength,SumOfCatchCount,Expression,StageCode,Dead,SpecialStudyID,SpecialStudy,TagCode,RaceByTag
722787,North,Cache Slough and Liberty Island,Cache Slough LI,KDTR,25-19-CS02,12/2/2024,08:11:00,CLR,4,38.25072,-121.68804,38.25,-121.68754,38.25143,-121.68758,9.64,227.8999939,10.30000019,17.81999969,YSI 013,,KTS29,1,B28370,1,,10.9,10,U,0.419999987,60000,73018,13018,4386.902234,4386.902234,,,4386.902234,N,WAG retained for genetic study and verification.,Ebb,Chordata,Threadfin Shad,TFS,None,56,n/p,1,n/p,n/p,No,n/a,n/a,n/a,n/p
722787,North,Cache Slough and Liberty Island,Cache Slough LI,KDTR,25-19-CS02,12/2/2024,08:11:00,CLR,4,38.25072,-121.68804,38.25,-121.68754,38.25143,-121.68758,9.64,227.8999939,10.30000019,17.81999969,YSI 013,,KTS29,1,B28370,1,,10.9,10,U,0.419999987,60000,73018,13018,4386.902234,4386.902234,,,4386.902234,N,WAG retained for genetic study and verification.,Ebb,Chordata,Threadfin Shad,TFS,None,86,n/p,1,n/p,n/p,No,n/a,n/a,n/a,n/p
722787,North,Cache Slough and Liberty Island,Cache Slough LI,KDTR,25-19-CS02,12/2/2024,08:11:00,CLR,4,38.25072,-121.68804,38.25,-121.68754,38.25143,-121.68758,9.64,227.8999939,10.30000019,17.81999969,YSI 013,,KTS29,1,B28370,1,,10.9,10,U,0.419999987,60000,73018,13018,4386.902234,4386.902234,,,4386.902234,N,WAG retained for genetic study and verification.,Ebb,Chordata,American Shad,AMS,None,85,n/p,1,n/p,n/p,No,n/a,n/a,n/a,n/p
722787,North,Cache Slough and Liberty Island,Cache Slough LI,KDTR,25-19-CS02,12/2/2024,08:11:00,CLR,4,38.25072,-121.68804,38.25,-121.68754,38.25143,-121.68758,9.64,227.8999939,10.30000019,17.81999969,YSI 013,,KTS29,1,B28370,1,,10.9,10,U,0.419999987,60000,73018,13018,4386.902234,4386.902234,,,4386.902234,N,WAG retained for genetic study and verification.,Ebb,Chordata,Threadfin Shad,TFS,None,90,n/p,1,n/p,n/p,No,n/a,n/a,n/a,n/p
722787,North,Cache Slough and Liberty Island,Cache Slough LI,KDTR,25-19-CS02,12/2/2024,08:11:00,CLR,4,38.25072,-121.68804,38.25,-121.68754,38.25143,-121.68758,9.64,227.8999939,10.30000019,17.81999969,YSI 013,,KTS29,1,B28370,1,,10.9,10,U,0.419999987,60000,73018,13018,4386.902234,4386.902234,,,4386.902234,N,WAG retained for genetic study and verification.,Ebb,Chordata,Threadfin Shad,TFS,None,92,n/p,2,n/p,n/p,No,n/a,n/a,n/a,n/p
722787,North,Cache Slough and Liberty Island,Cache Slough LI,KDTR,25-19-CS02,12/2/2024,08:11:00,CLR,4,38.25072,-121.68804,38.25,-121.68754,38.25143,-121.68758,9.64,227.8999939,10.30000019,17.81999969,YSI 013,,KTS29,1,B28370,1,,10.9,10,U,0.419999987,60000,73018,13018,4386.902234,4386.902234,,,4386.902234,N,WAG retained for genetic study and verification.,Ebb,Chordata,Wakasagi,WAG,None,83,n/p,1,n/p,n/p,No,HW25-247,DNA/L,n/a,n/p
722787,North,Cache Slough and Liberty Island,Cache Slough LI,KDTR,25-19-CS02,12/2/2024,08:11:00,CLR,4,38.25072,-121.68804,38.25,-121.68754,38.25143,-121.68758,9.64,227.8999939,10.30000019,17.81999969,YSI 013,,KTS29,1,B28370,1,,10.9,10,U,0.419999987,60000,73018,13018,4386.902234,4386.902234,,,4386.902234,N,WAG retained for genetic study and verification.,Ebb,Chordata,Threadfin Shad,TFS,None,51,n/p,1,n/p,n/p,No,n/a,n/a,n/a,n/p
722787,North,Cache Slough and Liberty Island,Cache Slough LI,KDTR,25-19-CS02,12/2/2024,08:11:00,CLR,4,38.25072,-121.68804,38.25,-121.68754,38.25143,-121.68758,9.64,227.8999939,10.30000019,17.81999969,YSI 013,,KTS29,1,B28370,1,,10.9,10,U,0.419999987,60000,73018,13018,4386.902234,4386.902234,,,4386.902234,N,WAG retained for genetic study and verification.,Ebb,Chordata,Threadfin Shad,TFS,None,73,n/p,1,n/p,n/p,No,n/a,n/a,n/a,n/p
722787,North,Cache Slough and Liberty Island,Cache Slough LI,KDTR,25-19-CS02,12/2/2024,08:11:00,CLR,4,38.25072,-121.68804,38.25,-121.68754,38.25143,-121.68758,9.64,227.8999939,10.30000019,17.81999969,YSI 013,,KTS29,1,B28370,1,,10.9,10,U,0.419999987,60000,73018,13018,4386.902234,4386.902234,,,4386.902234,N,WAG retained for genetic study and verification.,Ebb,Chordata,Threadfin Shad,TFS,None,59,n/p,1,n/p,n/p,No,n/a,n/a,n/a,n/p
722787,North,Cache Slough and Liberty Island,Cache Slough LI,KDTR,25-19-CS02,12/2/2024,08:11:00,CLR,4,38.25072,-121.68804,38.25,-121.68754,38.25143,-121.68758,9.64,227.8999939,10.30000019,17.81999969,YSI 013,,KTS29,1,B28370,1,,10.9,10,U,0.419999987,60000,73018,13018,4386.902234,4386.902234,,,4386.902234,N,WAG retained for genetic study and verification.,Ebb,Chordata,Threadfin Shad,TFS,None,52,n/p,1,n/p,n/p,No,n/a,n/a,n/a,n/p
